song_id,song_name,popularity,explicit,song_type,artist_ids,artist_names,genres,primary_genre,release_year,acousticness,instrumentalness,loudness,speechiness,valence,tempo
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",86,True,Solo,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],{'pop': 1},pop,2019,0.229,0.0,-5.634,0.0658,0.412,106.966
5p7ujcrUXASCNwRaWNHR1C,Without Me,87,True,Solo,['26VFTg2z8YR0cCuwLzESi2'],['Halsey'],{'pop': 1},pop,2018,0.297,9.11e-06,-7.05,0.0705,0.533,136.041
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,85,True,Solo,['0Y5tJX1MQlPlqiwlOH1tJY'],['Travis Scott'],{'pop': 1},pop,2018,0.00513,0.0,-3.714,0.222,0.446,155.008
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,92,False,Collaboration,"['246dkjvS1zLTtiykXe5h60', '1zNqQNIdeOUZHb8zbZRFMX']","['Post Malone', 'Swae Lee']",{'hip hop': 2},hip hop,2018,0.556,0.0,-5.574,0.0466,0.913,89.911
1rqqCSm0Qe4I9rUvWncaom,High Hopes,86,False,Solo,['20JZFwl6HVl6yg8a4H3ZqK'],['Panic! At The Disco'],{'pop': 1},pop,2018,0.193,0.0,-2.729,0.0618,0.681,82.014
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,63,False,Solo,['4iHNK0tOyZPYnBU7nGAgpQ'],['Mariah Carey'],{'pop': 1},pop,1994,0.164,0.0,-7.462,0.0386,0.346,150.277
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,52,False,Solo,['4sj6D0zlMOl25nprDJBiU9'],['Andy Williams'],{'pop': 1},pop,1963,0.766,0.0,-8.435,0.037,0.776,202.082
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,53,False,Solo,['4cPHsZM98sKzmV26wlwD2W'],['Brenda Lee'],{'pop': 1},pop,1964,0.614,0.0,-8.749,0.0502,0.898,67.196
0MMSmg7zyo6pOKZrfHUOqu,A Holly Jolly Christmas,3,False,Solo,['0MHgLfmQdutffmvWe5XBTN'],['Burl Ives'],{'pop': 1},pop,2015,0.685,0.0,-11.886,0.03,0.864,140.456
6Z924AupOiJLdnAKH6UgCu,Jingle Bell Rock,51,False,Solo,['38EmEgXkgK51MT2tPY0EoC'],['Bobby Helms'],{'Other': 1},Other,1983,0.651,0.0,-8.537,0.036,0.816,119.813
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,81,True,Solo,['2RDOrhPqAM4jzTRCEb19qX'],['Sheck Wes'],{'hip hop': 1},hip hop,2018,0.194,0.00986,-5.266,0.0315,0.261,146.034
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),48,False,Solo,['7v4imS0moSyGdXyLgVTIV7'],['Nat King Cole'],{'pop': 1},pop,1962,0.92,8.06e-05,-15.231,0.0341,0.209,78.696
4OafepJy2teCjYJbvFE60J,breathin,78,True,Solo,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],{'pop': 1},pop,2018,0.0211,1.37e-05,-5.413,0.0433,0.364,100.049
55S2PQgSMYAhgoTCcGCDfw,Youngblood,77,False,Solo,['5Rl15oVamLq7FbSb0NNBNy'],['5 Seconds of Summer'],{'pop': 1},pop,2018,0.0169,0.0,-5.114,0.463,0.152,120.274
7dt6x5M1jzdTEt8oCbisTK,Better Now,86,True,Solo,['246dkjvS1zLTtiykXe5h60'],['Post Malone'],{'hip hop': 1},hip hop,2018,0.354,0.0,-5.843,0.0454,0.374,145.028
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,85,True,Solo,['4MCBfE4596Uoi2O4DtmEMz'],['Juice WRLD'],{'hip hop': 1},hip hop,2018,0.349,0.0,-7.23,0.2,0.218,83.903
